#{"t_start": 1690165731.5264754, "env_id": "None"}
r,l,t
230.408047,243,186.383455
231.671094,243,514.996732
231.689453,243,688.914509
231.228359,243,1017.581234
229.449219,243,1193.995558
231.559922,243,1523.24438
232.131562,243,1700.779893
232.6425,243,2031.877858
232.015859,243,2572.520114
231.838281,243,2723.779249
12.729063,16,2725.617555
63.084126,70,2856.901298
13.353125,16,2858.119898
88.134126,97,2862.237053
65.304126,70,2990.637477
12.709375,16,2991.261575
61.796001,69,2993.942005
13.343438,16,2994.569344
63.339439,70,3124.588017
13.349375,16,3125.150256
88.345064,97,3253.819612
88.322876,99,3257.582918
87.983814,97,3388.490758
14.589063,16,3389.159165
63.511001,70,3391.8907
12.793125,16,3519.560297
63.721001,70,3522.313563
13.341563,16,3522.98278
86.838501,97,3653.81945
13.984688,16,3654.378573
63.716314,69,3656.862356
13.412813,16,3657.536751
86.790064,97,3787.128085
14.025313,16,3787.680541
13.955313,16,3788.287891
86.201939,97,3917.331175
88.267564,97,3921.342762
14.021563,16,4047.09287
13.403438,16,4047.749671
14.0175,16,4048.368027
64.659126,69,4051.013559
86.159439,97,4409.415472
14.005938,16,4410.005951
12.764063,16,4410.618764
64.761001,70,4413.420317
62.367876,69,4560.20178
63.103189,70,4563.161919
63.072564,70,4710.386589
87.645689,97,4714.720694
66.018814,70,4862.466765
89.247251,97,4866.720416
63.066939,69,5015.648943
64.380064,70,5018.724564
85.690376,97,5166.55354
64.439751,70,5169.710374
89.519439,98,5317.370429
67.542251,73,5464.787144
13.345,16,5465.470043
63.888501,70,5468.343908
86.867564,97,5616.869094
13.951875,16,5617.610565
13.36625,16,5618.292921
13.382188,16,5619.014532
14.015625,16,5619.653598
62.925064,69,5766.349923
63.007564,70,5769.495931
87.815689,97,5917.818426
88.870376,97,5921.952965
89.002876,97,6069.818734
64.581314,70,6073.001391
67.088814,73,6219.961277
64.533814,70,6223.008388
62.162251,69,6370.033978
87.518814,97,6604.999509
63.942876,70,6685.350221
66.388814,73,6688.75721
65.061314,70,6769.037654
88.902564,99,6773.863668
64.046001,70,6854.586684
62.683814,69,6857.710313
64.600689,70,6938.333694
88.821314,97,6942.748026
88.725689,97,7025.461872
87.960689,97,7106.893985
90.945064,98,7111.517878
13.980625,16,7112.206078
87.888189,97,7193.799448
86.765376,97,7198.071184
92.747876,99,7280.011425
88.583501,97,7362.933424
90.058189,98,7367.73889
86.042876,97,7449.279705
63.330064,70,7452.460321
63.562876,70,7532.814701
65.478814,70,7536.059626
64.522876,70,7617.780571
63.056314,69,7620.963495
87.377251,98,7703.695019
88.314439,98,7942.577967
63.753814,70,7977.963287
65.068189,70,7981.298523
89.117564,97,8017.95132
88.900376,97,8054.465601
62.952876,70,8057.804814
89.366626,97,8094.432958
88.189439,97,8099.459509
65.066939,70,8134.680906
89.273814,98,8139.561794
89.643189,97,8175.931058
63.566001,70,8179.27247
89.833189,97,8215.975574
63.509126,69,8251.46557
66.149439,73,8255.06553
89.423501,98,8291.611296
87.374751,97,8296.298138
65.864126,70,8332.221531
90.366001,98,8336.821932
89.590064,97,8373.374116
89.280376,97,8409.957454
13.343438,16,8410.669806
87.850376,97,8415.373741
63.930689,69,8450.414845
88.052876,97,8688.018326
91.135376,97,8719.647398
90.366626,97,8751.874819
90.707251,98,8756.549364
89.249439,97,8788.037816
88.034751,97,8792.927733
89.811626,97,8824.965033
91.249751,97,8856.410061
91.491939,97,8861.127867
66.445376,70,8892.083868
89.517564,98,8896.664802
64.083501,69,8926.571603
63.327251,70,8929.874782
90.354751,98,8961.845909
64.404751,70,8965.12438
89.984439,97,8996.650818
88.214751,97,9028.56727
66.347251,73,9032.210117
89.125064,98,9063.924726
89.898189,97,9068.865241
91.040689,97,9100.504588
91.927251,98,9131.860973
90.775689,97,9136.685409
89.740376,98,9412.579089
66.703189,70,9415.93483
68.071626,70,9454.50333
94.845689,99,9459.460101
90.706939,98,9499.511589
91.894439,97,9539.045799
90.658814,98,9544.303278
92.915689,98,9584.24879
90.233501,97,9624.00263
89.862251,97,9629.118914
92.696001,99,9669.02897
92.175689,97,9674.549477
66.521001,70,9713.067883
65.614439,70,9716.744639
90.303814,97,9756.295537
64.756314,69,9759.725094
90.513501,97,9799.703573
91.697876,97,9839.936992
91.975064,97,9844.763072
65.452251,70,9883.320536
92.341939,98,9887.990046
89.794126,98,9927.783439
91.585376,97,10222.63632
91.007564,97,10227.655781
95.193501,99,10285.756163
66.260376,70,10289.020017
93.529751,98,10347.023634
93.337251,99,10404.937954
93.623814,98,10410.151199
65.647876,70,10467.020669
96.595689,100,10472.060573
90.223189,97,10530.160845
92.561001,99,10535.152526
