#{"t_start": 1690165732.0552847, "env_id": "None"}
r,l,t
217.085937,229,183.451454
218.025391,229,355.666482
218.379219,229,682.024221
218.479766,229,855.056025
218.780078,229,1184.996253
216.106562,229,1360.412013
217.875234,229,1689.534457
219.531172,229,1867.404961
218.5125,229,2433.046026
220.585391,229,2583.049458
80.838814,93,2717.17662
12.923125,17,2719.580146
14.286875,17,2721.466387
2.744375,4,2722.130787
82.682876,93,2856.017125
14.604688,17,2857.556653
2.744375,4,2857.733248
2.14,4,2857.935255
13.674688,17,2858.759912
13.976875,17,2859.447581
78.592564,93,2988.653485
35.268325,40,2990.421126
62.604126,72,2993.194569
2.14,4,2993.353419
2.14,4,2993.536975
2.752187,4,2993.666243
12.62875,17,2994.381775
2.14,4,3121.723961
64.350064,73,3124.566544
2.744375,4,3124.725531
31.628013,39,3126.196843
2.752187,4,3126.411738
12.9075,17,3127.080014
2.132187,4,3127.3
12.768125,17,3252.771036
2.744375,4,3252.924455
2.14,4,3253.058051
13.225313,17,3253.72794
81.131939,93,3257.332373
33.199263,40,3385.787188
2.14,4,3385.978112
12.326563,17,3386.676872
33.53645,40,3388.333158
2.14,4,3388.506885
2.132187,4,3388.671105
82.497876,92,3519.281387
13.543125,17,3519.947825
47.791138,56,3522.166902
2.752187,4,3522.330867
46.117388,56,3524.552513
35.046763,40,3653.17786
13.380313,17,3653.783329
2.14,4,3653.905009
2.14,4,3654.035951
12.450313,17,3654.628247
81.896314,93,3784.005228
60.573189,73,3786.815081
2.14,4,3786.972137
2.752187,4,3787.118657
2.752187,4,3787.252522
13.853125,17,3787.894274
15.061875,17,3788.621819
49.95145,56,3916.05973
32.816763,40,3917.532573
2.132187,4,3917.700117
12.768125,17,3918.476164
2.14,4,3918.750587
2.744375,4,3918.895231
80.777876,93,4047.750824
13.550938,17,4048.327963
2.14,4,4048.491296
2.14,4,4048.671272
2.14,4,4048.815316
13.984688,17,4049.438993
81.204439,93,4178.96505
62.803814,72,4410.4828
48.30145,56,4412.728609
2.132187,4,4412.888249
48.549575,56,4559.202109
33.758013,40,4560.856181
13.349063,17,4561.560249
2.744375,4,4561.781579
33.676763,40,4563.385614
63.130376,72,4710.692632
13.690313,17,4711.37091
2.752187,4,4711.538527
13.364688,17,4712.441575
82.134751,93,4861.241266
13.9925,17,4861.97334
2.752187,4,4862.106093
14.131875,17,4862.775269
35.171138,40,4864.609804
79.548814,93,5014.586923
63.769751,73,5017.795062
14.441875,17,5018.647533
35.575825,40,5163.956279
80.822876,94,5168.093379
62.797876,72,5314.78406
80.112564,92,5318.484362
48.68645,56,5465.296758
34.80645,40,5466.939978
80.961314,92,5615.176304
49.854575,56,5617.686969
13.976875,17,5618.447575
81.315689,93,5766.119291
64.573501,73,5769.348196
2.132187,4,5769.487432
46.817388,56,5771.943018
2.132187,4,5772.100318
83.547251,94,5920.33726
2.132187,4,5920.548056
2.14,4,5920.681751
13.225313,17,5921.355415
80.973189,93,6069.040621
79.814126,92,6073.216706
35.460513,40,6218.726473
80.946626,93,6222.758458
47.7677,56,6369.227386
81.421626,93,6604.003146
65.696939,72,6684.502202
79.345689,93,6688.731995
81.043501,93,6770.415088
83.328814,93,6774.674263
64.372564,73,6855.480743
80.291626,93,6937.212631
63.464439,72,6940.424786
81.823501,92,7022.698092
2.132187,4,7022.867329
63.518814,73,7026.187122
