#{"t_start": 1690165730.438118, "env_id": "None"}
r,l,t
223.729375,234,186.15585
223.239687,234,358.94473
224.450312,234,685.545454
223.538359,234,858.840865
225.127812,234,1189.099439
225.248516,234,1365.080967
224.963516,234,1694.376104
224.029922,234,1872.367935
226.312031,234,2438.278462
228.341016,234,2588.700337
33.5477,37,2718.294736
46.594263,51,2724.648427
32.159888,37,2728.858938
13.840313,16,2730.260904
12.665313,16,2856.249888
13.267813,16,2857.579053
12.641875,16,2859.094136
33.257075,37,2860.773902
33.4002,37,2862.220303
13.230938,16,2862.900227
12.674688,16,2863.545743
32.571138,37,2990.524734
32.7427,37,2992.134493
33.569888,37,2993.551147
32.703638,37,2994.998761
13.279375,16,2995.6225
12.8125,16,3123.534485
13.863438,16,3124.212335
46.760513,51,3126.102282
133.697571,146,3256.556916
131.871321,146,3389.37731
140.020071,153,3522.479805
131.499446,146,3655.233042
13.99625,16,3655.750661
45.537075,51,3657.576313
89.745616,100,3787.381186
34.066138,37,3788.733747
34.11145,37,3790.204936
131.918821,146,3921.323481
13.928438,16,3921.935672
32.99145,37,4048.53724
32.543638,37,4049.940698
34.16895,37,4051.401834
13.37625,16,4052.025784
12.824063,16,4052.562382
13.38375,16,4053.138481
32.504888,37,4180.544549
144.97164,161,4559.708462
143.986953,161,4710.697811
13.299688,16,4711.364549
47.01895,51,4713.488236
33.276138,37,4715.285412
146.439765,160,4867.010701
147.147265,161,5019.994572
144.911953,162,5170.748533
146.713828,161,5321.01897
32.02395,37,5466.910492
134.013196,149,5617.53985
146.47539,162,5768.352648
92.779679,100,5772.745432
147.18664,161,5923.80922
32.31145,37,6069.064417
12.694375,16,6069.673267
13.920625,16,6070.33806
146.215703,162,6221.40763
148.652578,162,6372.534489
33.9302,37,6604.851048
47.006763,51,6607.030264
14.029063,16,6685.085508
34.241138,37,6686.641652
34.213638,37,6688.57886
134.520071,149,6772.600849
14.002813,16,6773.303987
47.258325,51,6775.594969
133.581946,145,6859.807714
33.4377,37,6938.95766
148.224765,161,7024.338391
34.199263,37,7026.186644
138.261008,154,7110.438848
13.879063,16,7111.191505
141.597258,154,7195.344407
133.421321,146,7279.176615
134.323821,146,7364.382566
13.980625,16,7365.037977
133.743821,146,7449.144226
146.57039,162,7533.823721
139.945383,154,7619.449262
33.877388,37,7621.125826
144.193203,161,7941.170213
138.664446,154,7980.458556
131.717883,146,8019.290636
140.174446,154,8058.57837
134.168196,149,8097.962335
32.713325,37,8099.842309
144.690078,161,8139.655894
13.384063,16,8140.39132
33.888325,37,8174.090718
146.71039,161,8213.707443
146.030703,162,8253.61599
145.59664,160,8293.215409
132.811946,145,8332.039118
147.614765,161,8372.281027
141.197883,154,8411.558231
147.445703,162,8451.125587
34.115825,37,8452.729137
149.579765,162,8720.560501
137.138508,146,8754.987513
150.251015,162,8789.764501
125.149446,133,8823.684688
138.579133,149,8857.65859
145.39164,161,8893.079903
145.572578,161,8927.346027
145.841328,160,8962.213991
134.304446,146,8995.658863
147.89664,160,9031.044326
149.164765,161,9065.886015
139.245383,149,9100.175961
148.158515,161,9134.728397
140.482258,153,9413.1966
149.119765,162,9456.408132
147.740078,160,9499.42774
150.85039,161,9542.624752
142.812571,154,9585.269933
150.527578,161,9628.496668
148.09414,161,9671.72368
151.813203,161,9715.408306
147.44039,160,9758.112623
150.050703,161,9801.420704
149.771015,161,9844.777129
148.006328,161,9887.585381
149.756328,161,9930.467136
137.531321,145,10227.917448
148.52789,160,10288.983326
151.292578,161,10349.945277
149.995703,162,10411.401575
150.073828,160,10472.824336
150.96914,161,10534.15562
153.394453,163,10595.278615
125.333196,133,10655.009165
150.489765,162,10717.214993
146.912258,154,10778.197085
151.413828,162,10840.003347
149.691953,162,10901.301629
151.899453,162,10962.623341
140.493821,149,11264.082923
151.355703,161,11312.751263
155.53039,163,11361.163011
153.23414,163,11409.561167
154.21789,162,11458.097511
153.566328,161,11506.617768
137.663508,146,11554.721949
153.81914,162,11603.202682
153.102265,161,11651.550622
137.191008,146,11698.974416
149.31789,160,11747.632483
155.50664,163,11796.383438
152.85914,161,11844.784594
155.620078,161,12131.535484
148.283821,154,12232.948122
140.416008,145,12333.954587
155.39914,162,12436.249709
153.262578,161,12537.451514
155.046015,161,12638.83669
154.822578,161,12832.762987
142.085383,148,12840.401266
194.826038,207,13037.442999
154.656328,162,13138.713087
153.17914,161,13239.634161
153.01539,161,13340.925364
155.986328,162,13678.074183
155.222578,161,13755.867151
154.228515,161,13833.899509
155.847578,161,13911.392064
151.641015,161,13989.218671
153.897265,163,14066.907598
156.962578,163,14145.27619
144.786633,149,14221.863885
154.093828,161,14299.556979
154.09539,161,14377.523142
155.680078,161,14455.058334
146.549133,153,14532.723769
156.06289,162,14611.012362
155.335078,161,14925.009754
156.429765,162,15048.868468
155.978515,161,15172.253124
155.88039,162,15295.867956
155.105078,161,15418.390463
156.595078,162,15542.324683
156.20539,160,15665.693446
157.073515,162,15902.61082
156.416953,162,16025.500726
158.767578,163,16148.573782
159.211015,163,16271.969946
156.758203,163,16396.181609
157.719765,163,16519.184669
155.284453,162,16920.589887
157.952578,162,17086.896225
157.016015,162,17253.090403
157.030703,161,17419.386185
158.87039,163,17584.713201
