#{"t_start": 1690165731.2276113, "env_id": "None"}
r,l,t
224.056875,236,185.688337
225.887969,236,513.011201
224.582812,236,685.757698
225.993047,236,1013.707885
225.271484,236,1189.447296
224.525859,236,1518.35239
225.377344,236,1695.030093
224.042188,236,2025.800713
225.279375,236,2439.527872
228.649062,236,2715.77314
68.306626,77,2724.811549
114.475071,130,2860.031573
79.927564,89,2989.053485
68.101626,75,2992.211502
113.405383,123,3124.31261
70.472564,77,3127.243056
78.754751,89,3255.469047
111.453508,123,3387.325624
70.158501,77,3390.488191
69.789126,77,3520.473831
69.534439,75,3523.498338
70.421939,77,3653.598792
80.405064,90,3656.750602
69.850376,77,3785.676987
79.239751,88,3789.053288
80.794751,89,3917.689582
81.468501,89,3921.379828
78.271001,89,4049.957996
80.284751,90,4179.308765
79.854439,89,4411.660613
114.739133,125,4560.615782
121.054446,137,4710.649397
70.374751,77,4714.054947
80.924126,89,4862.64699
81.642876,90,4866.55863
79.743814,88,5016.318141
71.128814,77,5019.798865
68.143189,77,5166.723327
112.160696,123,5315.68543
112.632571,125,5465.264459
68.603501,77,5468.455858
81.970376,90,5616.585987
79.367876,89,5620.525373
83.397564,90,5768.246667
79.596314,88,5772.065792
68.768501,75,5919.303016
69.814439,77,5922.686769
69.409751,76,6069.553479
82.511939,90,6073.672153
71.407564,77,6220.918469
122.561946,137,6370.830096
72.178501,77,6604.872707
80.450689,90,6686.217982
112.071321,125,6768.902703
71.118189,77,6772.86501
70.444126,77,6853.777523
123.590383,136,6860.087406
76.720376,83,6941.231333
70.024751,76,7022.623885
82.734439,90,7026.879607
122.120696,137,7110.589795
124.778508,136,7193.813999
68.944751,77,7197.326608
81.584439,90,7278.672894
82.072251,88,7283.132725
69.897251,76,7365.02855
112.848196,123,7447.750816
81.683501,89,7451.888
70.932251,77,7532.555611
125.307571,137,7617.345239
81.782876,89,7621.414274
70.729751,77,7703.217715
121.632258,137,7975.806592
71.612564,77,7979.725221
83.576001,90,8015.605396
169.814765,184,8056.780002
215.057414,237,8100.334221
70.925064,77,8135.90049
113.591321,123,8173.929706
71.249751,77,8177.365156
113.548821,123,8215.334327
123.824758,136,8254.088809
112.411946,124,8291.88728
114.581321,123,8297.733022
124.778508,136,8336.853623
80.691939,90,8372.935202
82.152564,90,8377.395151
124.536633,136,8415.792525
113.440383,123,8453.196567
222.803351,239,8752.376224
124.785383,136,8785.66661
212.477726,237,8824.755656
223.129289,239,8890.053957
126.909133,135,8897.031659
123.391008,137,8930.132019
112.152258,124,8963.36414
112.369446,123,8996.024318
206.222414,223,9034.233711
208.989914,225,9099.197579
207.508351,224,9136.781699
72.762876,77,9411.238336
170.954453,184,9455.891986
205.353039,220,9501.791461
204.140539,220,9582.982079
225.094601,239,9630.127643
116.247883,124,9671.403014
224.385851,238,9754.054659
84.960376,90,9758.295457
148.95164,162,9801.631242
128.082571,137,9843.694921
127.790071,137,9885.316166
128.344446,137,9927.248327
117.508821,125,10223.351088
118.251321,125,10229.692026
116.446321,125,10288.986923
119.812883,125,10348.299776
222.007414,238,10466.77189
224.619601,241,10532.155504
130.012258,137,10592.168386
173.98164,184,10654.401994
209.776789,225,10772.960576
118.347883,124,10779.126379
130.425071,137,10839.676524
220.871476,238,10958.058555
129.581633,137,11258.912985
128.844133,137,11306.013948
224.145851,239,11358.617235
125.984446,135,11405.469563
116.740071,124,11451.838501
127.624133,137,11499.541888
130.329133,137,11506.65779
222.561789,238,11599.493025
223.326476,238,11691.521142
223.958976,238,11744.191567
209.327726,220,11796.01446
84.625376,89,11840.384539
130.466633,137,12125.928144
127.630696,137,12226.198975
221.805851,238,12332.431836
222.987414,238,12531.211097
220.893039,239,12637.037743
172.158828,184,12832.122079
130.361321,137,12839.217183
207.463351,224,13037.107741
128.827883,137,13137.001625
220.974289,238,13242.01518
130.338821,137,13342.094693
224.579914,238,13752.512693
225.462414,238,13834.693288
220.329601,237,13985.330508
226.238664,239,14067.420942
211.292101,225,14217.5167
131.296633,137,14293.735996
225.419914,239,14376.004134
226.644914,239,14526.733695
174.81039,184,14606.364429
224.781476,239,14924.934522
228.236789,239,15167.090161
208.260539,220,15294.314317
229.184289,239,15535.990881
226.593976,239,15663.814034
227.308351,238,15904.95682
226.018976,239,16032.047698
121.223821,125,16153.127427
228.101476,239,16395.936698
227.492414,238,16757.65112
225.723351,237,17085.968719
230.656164,239,17256.944935
230.667101,238,17583.165854
