#{"t_start": 1690377799.0671926, "env_id": "None"}
r,l,t
39.004688,42,26.72451
40.212813,42,27.593309
39.387813,42,28.463735
15.555563,17,28.851387
14.465875,17,31.561763
40.065313,42,32.464874
39.408438,42,33.345251
38.938125,42,34.1974
39.8975,42,37.295957
40.260625,42,38.218306
39.898438,42,39.196585
39.879375,42,40.144862
49.652572,54,43.583879
49.58726,54,44.842609
50.794135,54,45.988831
10.397992,13,48.586338
49.67351,54,49.808262
50.955072,54,50.992315
10.855179,13,51.272321
10.785492,13,51.577528
49.950072,54,54.929049
9.700492,13,55.219501
50.695385,54,56.323444
50.80101,54,59.636906
10.932679,13,59.909067
49.476635,54,61.057393
9.499242,13,61.418151
10.181117,13,61.706594
11.087679,13,61.978678
50.480385,54,65.445566
52.844687,61,66.912383
53.664062,61,68.350391
40.801875,46,71.509356
6.976562,9,71.741162
6.357187,9,71.934667
6.969375,9,72.155908
28.262812,32,72.911832
49.625937,55,74.153935
17.494375,22,74.724035
19.498437,22,77.333282
7.03125,9,77.51858
41.035312,46,78.592873
18.373437,22,79.043315
53.718438,61,82.641932
6.426875,9,82.874301
18.660937,22,83.449734
6.891875,9,83.650917
54.869062,61,85.070444
54.6325,61,88.656323
50.32125,58,89.925771
6.829375,9,90.102067
6.98375,9,90.349389
53.7775,61,91.715545
18.335312,22,94.333483
28.960312,32,95.130302
7.52625,9,95.380251
7.471562,9,95.611676
52.569062,61,97.098856
40.944687,46,100.324749
7.581562,9,371.87367
7.54125,9,372.086848
53.531875,61,373.698969
27.609687,32,374.47054
49.465937,56,384.065797
27.591875,32,384.958435
41.525937,46,386.149901
55.670938,61,395.897492
50.586563,56,397.427083
54.3825,61,399.122413
60.940101,65,408.913235
57.824812,62,410.535366
58.161062,63,420.212085
68.936414,75,422.246249
57.519812,63,423.922637
3.512187,6,424.08077
58.591687,62,433.608716
3.512187,6,433.756916
57.765125,63,435.453893
61.120101,66,445.118681
61.266039,65,447.05436
58.145437,62,456.809195
58.875125,62,458.487294
4.124375,6,458.70957
57.656062,62,460.382759
57.7895,62,470.407622
57.603875,62,472.242391
62.382914,66,482.348194
57.167625,63,484.137922
58.901062,62,485.8348
58.488562,62,495.906836
57.582312,62,497.704893
57.561375,63,507.556303
68.768602,75,509.710476
4.72875,6,509.899415
3.504375,6,510.068302
3.504375,6,510.22163
57.709187,62,519.793859
60.636664,66,521.580885
61.310101,65,523.468173
60.021664,65,802.989086
57.952625,62,804.809998
58.150125,62,815.611698
60.028226,65,817.539396
57.856062,62,819.39835
57.05825,62,830.188053
61.327601,65,832.250288
68.653289,75,843.713113
59.532289,65,845.676467
57.293875,62,856.572605
58.626375,63,858.478412
61.219789,65,860.337299
58.494187,62,871.227221
60.369164,66,873.218272
58.137312,63,884.028625
58.791687,62,885.918172
58.627625,62,887.81825
58.214812,62,898.697178
58.296687,62,900.557504
4.116562,6,900.706842
69.292664,75,912.019537
59.02575,63,913.870461
4.124375,6,914.017812
4.124375,6,914.174729
58.197312,62,925.315586
60.0895,63,927.169398
71.266102,75,929.448571
61.383851,66,940.368954
4.116562,6,940.538489
58.549187,62,942.451807
57.937625,62,953.457595
57.228875,62,955.397008
58.027,62,957.233953
60.625414,65,968.362978
56.641062,62,970.24493
58.943875,62,981.169318
59.119187,62,1257.413526
71.122977,75,1267.859227
60.907914,65,1269.990116
61.494476,65,1272.202421
70.623914,75,1282.976997
61.276039,65,1284.841595
69.557664,75,1295.571756
61.194164,65,1297.664319
59.302625,62,1308.044274
59.631062,63,1309.986888
58.166687,62,1312.112451
59.107625,63,1322.57608
58.822312,62,1324.513724
57.407312,62,1335.342616
69.812352,75,1337.910086
58.901687,62,1339.882003
70.059539,75,1350.831967
71.466335,74,1353.325417
89.508456,93,1364.587245
71.66071,75,1375.256634
89.006268,93,1378.300089
72.203835,75,1388.977882
71.193835,75,1391.432703
89.785331,93,1402.649
89.406268,93,1405.627079
89.055643,93,1416.91303
89.212518,93,1420.187271
72.406023,75,1431.010207
89.039081,93,1703.023901
89.033143,93,1706.001288
90.234706,93,1718.07575
71.016335,73,1720.553046
89.905956,93,1732.352156
89.703143,93,1735.686256
95.21626,101,1747.847453
79.532602,86,1759.373051
81.226353,87,1762.263721
79.626665,86,1774.045776
80.938853,86,1776.977534
79.185415,87,1788.25982
81.74354,87,1791.40872
80.852915,86,1802.863031
