#{"t_start": 1690377795.5595405, "env_id": "None"}
r,l,t
37.245,39,30.169125
36.635313,39,30.970263
37.720313,39,31.793674
36.998437,39,32.65133
37.185938,39,35.790882
36.893437,39,36.649289
36.700313,39,37.462877
38.026875,39,38.252157
37.28125,39,41.295299
37.256875,39,42.187454
42.58351,46,43.221981
42.81351,46,46.501703
12.351429,14,46.810405
43.215385,46,47.929599
12.405179,14,48.227629
12.467367,14,48.510774
43.559447,46,49.498255
12.327992,14,52.111494
42.802572,46,53.184067
41.465072,46,54.195373
43.351635,46,55.220371
12.196429,14,57.673092
43.293822,46,58.668813
12.203929,14,58.975868
42.01351,46,59.925828
42.831322,46,60.920105
43.59476,46,64.02339
60.031875,63,65.462569
60.47375,63,69.092272
6.589375,8,69.261988
6.589375,8,69.439718
46.3025,50,70.698898
59.313438,63,72.188748
59.348438,63,75.775112
6.589375,8,75.94177
6.504062,8,76.133906
59.420625,63,77.602745
59.6225,63,81.172571
59.608438,63,82.584953
59.670938,63,86.239113
60.059688,63,87.747808
59.464688,63,89.196586
63.869789,69,92.984477
2.744375,4,93.065392
37.391254,41,93.985043
37.158442,41,94.921224
71.135164,78,98.912825
2.14,4,99.014287
37.063129,41,99.994692
2.752187,4,100.09129
72.053289,78,375.449078
64.231039,69,377.250749
71.567039,78,387.387305
71.926102,78,389.453598
37.060317,41,390.558548
37.494379,41,399.768609
70.972352,78,401.879075
65.397289,69,411.792709
53.682312,58,413.352983
72.579539,78,415.481362
51.782937,58,425.018746
72.439852,78,427.040431
69.840477,78,436.992865
70.913289,78,439.134942
37.596879,41,448.129684
53.292625,59,449.755637
2.752187,4,449.925851
71.688289,78,452.103449
40.574471,46,461.425275
40.164158,46,462.702819
40.381658,45,463.940179
7.100937,9,464.223011
21.613048,27,473.264425
40.303221,46,474.558075
38.370408,45,475.910298
67.66859,74,486.23875
39.986658,47,487.558231
74.983456,85,490.017444
22.78836,26,498.959737
42.153533,47,500.310037
41.554471,47,501.673715
17.287797,20,502.214589
20.185922,23,510.848567
78.353143,85,513.407398
42.033221,47,514.736945
15.859047,20,523.114967
16.019047,20,523.632861
42.276346,47,524.891952
40.580721,46,526.250877
22.005548,26,526.99657
40.554158,46,536.311456
76.765018,85,808.467228
40.538846,45,818.762899
78.761893,85,821.245227
41.790408,47,822.690341
7.705312,9,822.959379
39.526971,45,833.251706
65.484215,73,835.532803
22.71836,26,836.293031
17.714985,20,836.864593
38.683533,46,847.515618
42.389158,46,848.888004
40.670721,47,850.360679
40.752596,47,860.756789
76.417518,85,863.280787
23.404298,26,863.999413
23.953673,27,873.856489
40.620096,47,875.307379
18.087172,23,875.956355
7.705312,9,876.261316
40.894783,46,877.682031
41.376658,47,887.912363
41.927908,47,889.365102
43.062596,47,890.852008
43.616033,47,901.262038
76.539706,85,903.825804
16.639047,20,904.416404
41.921346,46,914.856806
7.07,9,915.122485
41.245721,47,916.505275
17.25686,20,917.103002
22.310235,27,917.825616
39.324471,47,919.389642
39.714158,45,929.742919
19.494985,23,930.475985
7.10875,9,930.797302
79.135956,85,942.188173
43.531971,47,943.669478
19.367485,23,944.356373
17.329672,20,945.013975
43.277283,47,946.474837
18.87061,23,956.221994
7.077812,9,956.525936
39.284158,46,957.976293
7.07,9,958.262109
22.914298,27,959.083204
39.168533,46,960.446754
78.434081,85,972.163108
21.257172,23,972.96986
42.096033,47,974.341867
40.234158,46,984.755893
18.31061,23,985.434766
40.601658,47,1261.220161
80.143143,85,1272.004377
78.293456,85,1274.810789
76.87535,83,1285.983844
54.582638,61,1287.757595
55.39295,61,1298.00112
90.944385,98,1301.140841
56.416075,61,1311.46454
77.886913,83,1314.128187
56.9317,61,1324.283491
56.904825,61,1326.525295
84.360038,91,1329.512125
55.8742,61,1340.485938
56.810138,61,1342.314106
77.328475,83,1353.452031
77.305038,83,1356.229288
53.993825,58,1366.456357
56.023888,61,1368.448351
84.502225,91,1379.596232
89.947198,98,1382.787895
65.083505,70,1393.315149
54.613575,61,1395.338362
53.763825,58,1405.446749
83.076913,91,1408.399926
57.403888,61,1410.249709
77.3441,83,1421.411815
56.1117,61,1423.487722
91.642198,98,1695.607157
54.182575,58,1697.436153
53.473638,59,1707.902135
91.140323,98,1711.247459
54.51695,58,1721.972404
55.603575,61,1724.038573
56.5967,61,1734.7375
90.91376,98,1738.279711
54.96045,61,1749.095754
