#{"t_start": 1690377797.463021, "env_id": "None"}
r,l,t
39.69375,41,28.306755
38.974688,41,29.156545
38.895625,41,30.012247
39.745625,41,33.259834
39.20125,41,34.12916
39.45875,41,34.983099
39.344062,41,35.819599
39.22625,41,38.900044
39.325,41,39.80061
39.68,41,40.755188
27.357511,31,41.430737
28.184386,31,44.39288
4.744375,6,44.521602
28.313449,31,45.227969
44.541947,48,46.346029
4.442188,6,46.467894
4.45,6,46.585862
45.004135,48,47.623229
45.022885,48,50.998088
27.907511,31,51.711912
46.126947,48,52.765911
4.589375,6,52.874991
45.285385,48,56.108531
27.579699,31,56.789862
44.915072,48,57.786597
45.181322,48,58.821642
28.309074,31,61.620186
43.24726,48,62.639939
28.595324,31,63.385459
45.599135,48,64.510897
28.370324,31,67.359207
45.58851,48,68.583818
60.701875,66,70.141845
61.05,66,73.782838
9.094688,11,74.016008
6.744375,8,74.209542
6.484687,8,74.406103
44.316875,48,75.527953
9.455,11,75.753885
61.74875,66,79.434415
61.717187,66,80.967649
61.570937,66,84.682346
61.774062,66,86.209467
9.1625,11,86.485513
8.798438,11,86.735022
61.959063,66,90.446231
60.287187,66,91.892537
62.195937,66,93.407298
6.734687,8,93.616117
43.76,48,96.894729
6.7425,8,97.090248
8.53875,11,97.338128
8.796563,11,97.604002
62.335937,66,99.181568
19.283978,22,101.878466
62.090789,68,374.995239
62.835477,68,376.698176
18.968978,22,385.40339
48.876687,54,386.839949
62.608602,68,388.660877
63.303289,68,398.647136
63.179539,68,400.47974
63.491414,68,410.338115
20.123978,22,410.901349
61.728289,68,412.789009
51.673562,58,422.272876
49.7795,54,423.756797
19.08179,22,424.312148
49.897,54,425.753519
61.934539,68,435.430189
19.463665,22,436.041944
52.087312,58,437.608339
63.328914,68,447.38865
64.920164,68,449.303832
5.72875,7,449.49447
5.116562,7,449.669053
56.879848,65,459.548152
55.886723,63,461.279592
56.173285,64,471.393359
12.691547,14,471.748964
78.503456,89,474.359195
54.90766,64,484.423241
57.946723,64,486.185382
12.071547,14,486.615541
4.504375,7,486.818707
2.744375,4,486.949841
12.071547,14,487.297383
11.467172,14,487.677124
2.132187,4,487.81623
66.929148,72,498.108402
12.69936,14,498.512326
5.124375,7,498.771733
9.862797,14,499.159214
12.087172,14,499.560188
59.318598,65,509.467596
48.626723,54,511.053409
2.744375,4,511.148901
65.542585,73,513.175387
2.744375,4,513.259493
57.963285,64,522.842863
48.217348,54,524.421757
11.691547,14,524.825808
2.132187,4,524.92017
12.691547,14,525.378256
56.69016,65,804.894261
57.85266,64,806.721808
13.311547,14,807.150303
56.473598,64,818.044089
80.292206,89,820.714298
49.145473,54,831.254714
12.087172,14,831.658011
9.473125,12,832.029264
5.10875,7,832.220746
79.909706,89,834.973331
11.474985,14,844.612171
2.14,4,844.740245
59.025785,65,846.615572
57.988598,64,848.709296
59.330473,65,859.565639
12.707172,14,860.041311
60.324535,64,861.912571
13.295922,14,862.335268
13.295922,14,871.775051
9.465313,12,872.147701
2.744375,4,872.237577
12.691547,14,872.638304
58.283285,65,874.647632
58.126723,65,885.51776
