#{"t_start": 1690269963.8405967, "env_id": "None"}
r,l,t
76.156094,78,15.347028
76.119766,78,17.828151
75.770781,78,23.59988
76.030313,78,26.255585
76.05375,78,32.066545
75.397031,78,34.808228
76.649297,78,40.598053
75.116094,78,43.371453
75.789297,78,49.259151
76.135078,78,51.994427
98.185244,103,59.107526
98.74876,103,66.549083
98.156807,103,70.872538
98.424307,103,78.34481
97.990479,103,85.708457
98.321416,103,89.990254
97.818526,103,97.413614
98.339229,103,104.760383
97.952744,103,109.133136
99.503369,103,116.774021
113.586641,117,125.534062
113.113281,117,134.103359
113.446719,117,392.874938
113.618906,117,478.367782
112.696562,117,564.137584
114.001484,117,649.638841
111.024219,117,655.470619
113.772734,117,741.469224
113.894141,117,827.939328
113.179297,117,914.11124
136.043793,141,1001.290945
135.183558,141,1009.610453
136.227933,141,1097.290715
135.089574,141,1184.870851
133.315043,141,1272.726762
135.71223,141,1363.050666
136.973715,141,1451.541517
135.024886,141,1787.32922
138.108168,141,1862.546243
135.730824,141,1938.24494
153.201641,161,2015.300152
153.919141,161,2092.345848
154.011641,161,2168.83212
154.906094,161,2245.935757
153.434297,161,2322.998035
155.435625,161,2399.686818
154.815859,161,2476.871141
155.917812,161,2553.359426
157.448047,161,2630.244957
155.235,161,2707.332769
163.86193,171,3033.68151
165.958102,171,3126.430037
165.279977,171,3219.11914
162.604742,171,3311.780123
163.800836,171,3404.487379
164.08818,171,3575.869885
165.623883,171,3667.88926
166.160602,171,3760.879523
163.757477,171,3852.893544
165.383336,171,3945.603518
196.802031,203,4041.625096
194.33875,203,4215.615683
198.087266,203,4559.604636
198.640781,203,4654.150691
197.221875,203,4749.004168
196.915078,203,4921.946961
197.554687,203,5017.333311
197.761328,203,5112.521765
198.230391,203,5284.875671
198.43,203,5379.854249
221.456595,230,5478.745951
219.838861,230,5657.474799
223.41222,230,6003.830944
224.217845,230,6182.988639
222.560502,230,6284.221319
220.196049,230,6464.569985
225.117845,230,6565.850583
222.496986,230,6743.990123
223.371986,230,6844.242349
220.084642,230,7023.496923
232.378047,238,7126.7499
233.217344,238,7557.57228
233.262578,238,7658.989463
232.734609,238,7835.504051
233.777266,238,7937.191504
232.996953,238,8114.768708
231.824766,238,8215.375843
232.244297,238,8392.994523
229.956562,238,8494.711437
234.390078,238,8922.749538
267.258579,271,9106.749715
265.00772,271,9215.098051
266.103736,271,9399.109889
264.479829,271,9584.128047
265.053267,271,9770.12349
264.909361,271,9878.773623
265.654126,271,10063.676741
265.552954,271,10495.022636
265.877095,271,10689.773508
266.606704,271,10804.620852
272.920312,278,11000.828979
274.097187,278,11199.271161
272.504531,278,11398.473582
274.534297,278,11517.061995
