#{"t_start": 1690108559.2224174, "env_id": "None"}
r,l,t
25.171312,28,13.920416
34.77225,38,15.060702
117.9925,130,19.382552
157.9935,171,25.39394
107.950312,117,29.350601
117.961875,126,33.605722
88.604312,98,36.81539
90.030875,98,40.018184
115.104688,126,44.293095
50.680063,55,46.105017
89.029,98,49.418629
113.724062,126,53.585192
107.473125,117,57.461774
90.558062,98,60.680486
25.202562,28,61.636274
89.956187,98,64.954924
89.559937,98,68.234347
50.102563,55,69.912659
68.519375,75,72.482519
155.083188,171,78.269286
25.03975,28,79.171421
49.421313,55,81.021901
179.171875,195,352.576946
179.653125,196,359.2516
49.405375,55,361.229147
69.057187,75,363.81045
254.954688,279,374.042349
49.306312,55,375.99746
26.441937,28,376.938267
91.046187,98,380.529883
179.415938,196,387.392642
25.806625,28,388.326187
193.856563,211,395.905571
51.304125,55,397.808225
106.390937,117,401.998
50.551313,55,403.872016
25.19475,28,404.91315
106.215,117,409.203089
180.735,195,416.026453
181.312188,195,683.513791
120.809062,130,688.348392
184.015938,196,695.479259
90.802437,98,699.3412
26.263812,28,700.339692
263.394063,285,710.791903
25.372875,28,711.861595
183.8675,195,719.163695
25.620687,28,720.184294
181.385938,196,727.271975
50.350375,55,729.243634
106.88375,117,733.7586
259.461563,281,744.066484
180.415,195,751.633817
25.589437,28,752.595405
264.969688,285,1028.377306
257.19,281,1039.349141
91.834313,98,1043.240094
197.300938,211,1051.087965
182.066875,195,1058.522966
261.945938,285,1069.318243
181.028438,196,1076.980774
183.10625,195,1084.813066
183.439063,196,1092.313384
25.535687,28,1093.380436
183.61875,196,1362.708233
184.656875,196,1370.671718
267.324375,285,1381.890764
197.456563,211,1389.986332
184.648125,195,1397.542235
198.401563,211,1406.142477
263.009688,285,1417.236885
260.409375,279,1428.022672
160.3685,171,1434.704492
263.8775,285,1706.341469
183.5625,195,1714.010471
184.94625,195,1721.654059
181.288125,195,1729.214669
183.722813,195,1736.885478
265.815938,285,1748.194951
262.045938,280,1759.468328
51.7835,55,1761.712391
267.836563,285,1772.760788
183.155,195,1780.446098
184.46875,196,2053.166425
182.371875,196,2060.972977
160.127875,171,2067.838891
262.347813,279,2078.987942
183.788438,195,2087.02173
199.431875,211,2095.386705
268.242188,285,2106.718373
93.023062,98,2110.322684
266.172813,285,2121.736088
209.372216,226,2394.422458
291.172753,313,2408.006845
208.790653,227,2417.164524
208.368153,226,2426.342602
210.866591,226,2435.354741
207.996591,225,2444.456539
212.028153,226,2453.316566
289.886816,313,2465.955089
213.371278,225,2474.977171
