#{"t_start": 1690377960.0235379, "env_id": "None"}
r,l,t
82.476875,89,25.981731
46.985625,51,27.686035
47.76,51,31.494721
73.182437,81,34.240895
73.642437,82,39.171731
79.325937,90,42.36775
50.373125,54,46.02995
82.14,91,49.2506
80.103437,91,54.423261
49.452812,54,56.527553
73.760562,81,61.191956
73.460562,81,64.22999
73.145562,82,69.114141
49.025938,54,70.973066
50.279375,54,72.722692
48.040312,51,76.238789
72.814,82,79.132964
73.49025,81,83.613946
48.8025,54,85.492379
124.43225,138,92.205914
49.090625,54,94.229216
47.245625,51,97.691353
73.656812,82,100.589573
105.50875,117,106.705275
47.419062,51,108.462743
47.195625,51,111.908665
48.850313,54,113.922436
74.79525,81,118.639331
47.444688,51,392.041212
80.652812,90,395.3083
47.388438,51,404.322162
47.201563,51,406.187526
73.51775,81,416.461683
74.921812,82,419.321189
80.039062,90,429.58677
81.03875,90,432.967822
80.140312,90,443.235218
73.809937,82,446.497266
49.976562,54,455.164675
114.916875,126,466.784156
84.215,91,470.273139
47.666562,51,471.996745
49.473125,54,480.872708
105.41625,117,491.839248
47.562812,51,493.696189
82.106562,89,497.011693
73.219625,82,506.799713
47.047812,51,509.001331
50.577813,54,517.813567
80.275937,90,521.532939
49.506875,54,530.478182
80.935625,91,534.064645
75.714312,82,544.117535
47.31,51,546.010023
49.952188,54,548.001693
80.425625,89,829.633417
75.544937,82,832.778839
129.0635,140,846.38909
113.292188,126,859.59302
80.920312,89,871.206704
82.462187,90,874.572569
82.778437,90,886.245589
125.43725,138,899.802476
114.264375,126,912.569853
107.000625,116,917.146704
49.694688,54,927.021453
81.900625,89,930.424224
82.039375,89,941.712311
112.986562,125,954.668978
82.5075,91,958.325452
49.079375,54,968.542113
84.259375,90,972.036064
82.025312,90,983.450878
126.24975,139,996.725674
85.182812,91,1000.134827
49.590937,54,1010.502166
76.148062,82,1273.038501
110.281563,117,1285.003768
47.625,51,1287.221057
128.216625,140,1300.383442
107.044375,116,1312.687423
114.355,126,1325.247051
107.856875,116,1330.08451
106.5475,116,1342.159063
82.860625,89,1353.698211
83.260937,91,1357.320948
115.119063,126,1370.002662
113.1275,126,1382.760981
81.142813,89,1386.382992
106.95125,116,1399.314258
129.455062,139,1412.610214
84.151563,90,1423.802496
85.765625,91,1427.621851
105.661563,116,1440.121645
129.031313,140,1453.279132
128.402563,140,1732.44168
115.175938,126,1746.30811
127.940687,139,1752.434312
130.387875,138,1766.77046
82.4075,90,1778.775329
115.64875,126,1792.403716
83.862812,90,1796.728182
