#{"t_start": 1690377960.2824168, "env_id": "None"}
r,l,t
51.369062,57,24.671637
34.154438,37,25.910859
7.10875,9,26.187914
102.344375,116,32.198396
2.14,4,32.306622
2.132187,4,32.400261
53.269063,60,34.511349
2.744375,4,34.662809
85.651875,94,39.893408
103.26375,116,45.850198
2.14,4,46.012744
2.14,4,46.150884
32.86725,37,47.424351
33.119125,37,48.760498
49.935313,57,52.839739
52.158437,60,54.932811
2.752187,4,55.079951
2.752187,4,55.287455
2.744375,4,55.465815
2.752187,4,55.595727
50.645312,57,57.728935
54.348438,60,61.615178
2.744375,4,61.744205
32.357563,37,63.239214
2.744375,4,63.367288
32.289125,37,64.73087
82.26625,94,69.984532
33.8785,37,71.153011
83.251563,94,76.120625
2.132187,4,76.240947
85.1425,94,79.462505
50.74875,57,83.202393
2.752187,4,83.318534
34.04225,37,84.634372
32.9685,37,85.927729
51.250625,57,89.740268
51.106563,57,91.783637
32.632562,37,93.215484
85.410625,97,98.308993
49.844062,57,100.296537
2.744375,4,100.449298
32.941625,37,103.558155
102.6175,116,107.756186
2.752187,4,107.935197
52.563125,60,111.677852
2.752187,4,111.806682
7.10875,9,112.205928
51.82,60,114.280353
2.744375,4,114.386873
86.259375,97,391.414236
53.155,60,393.484807
52.495937,57,402.784061
86.989688,96,406.386612
53.838438,60,415.91173
146.677813,161,428.531911
87.40875,97,432.112467
32.561,37,433.457014
85.022813,93,443.963313
32.401938,37,445.425048
86.448437,97,455.750788
174.365938,191,469.932227
87.64375,97,480.150909
2.132187,4,480.300635
85.90625,97,483.791361
50.84,57,492.667497
54.266562,60,494.898833
2.14,4,495.075901
84.959375,94,505.381276
86.530313,97,509.21432
188.394063,204,530.882531
33.45725,37,532.376173
32.961313,37,533.830697
53.677188,60,542.943013
51.814687,60,545.276095
185.403125,204,831.252375
87.9,96,843.018641
187.328438,204,859.384342
87.633125,97,871.311724
184.583125,201,887.145393
147.557813,161,901.585706
56.202813,60,903.76718
2.752187,4,912.014127
33.089125,37,913.391227
86.339063,94,917.044057
33.391313,37,926.374281
88.229062,97,930.037307
108.090938,116,942.329729
104.80125,115,955.008682
185.434375,204,971.088744
54.125625,60,973.283692
149.404688,161,987.358573
186.570313,204,1011.822258
85.257188,93,1274.496214
2.132187,4,1274.642454
107.443125,116,1286.879604
52.631562,57,1289.291097
148.529688,161,1303.258075
107.4525,116,1315.493308
149.31875,161,1329.55138
51.48125,57,1339.436411
186.839063,204,1355.500822
87.920937,94,1366.530511
149.72,161,1380.673761
188.305,204,1397.513493
87.69875,97,1401.521031
51.41375,57,1411.297885
189.4925,204,1427.26041
85.97875,94,1438.91669
106.669062,116,1451.008086
