#{"t_start": 1690377960.3059554, "env_id": "None"}
r,l,t
88.75,97,25.991761
45.757812,50,27.753182
87.265,97,32.996498
95.900938,106,38.730686
90.474688,97,42.201884
44.792813,50,45.713954
97.349375,107,49.54558
45.185625,50,53.336738
96.789375,106,57.304714
96.446563,106,62.873847
45.197813,50,64.732132
46.71375,50,68.380554
95.063125,106,72.021761
96.354375,106,77.499254
89.469063,97,82.545855
89.599375,97,85.869875
97.369688,106,91.511022
88.764063,97,96.714024
97.790625,107,100.45837
45.08375,50,104.022041
97.355313,106,107.896741
97.215625,106,113.399181
88.181562,97,118.622271
45.586563,50,391.987544
44.525312,50,393.716177
98.274375,108,404.892485
88.623125,97,415.88821
97.865625,106,419.472969
97.814063,107,430.383082
97.540313,106,441.322341
96.864688,106,445.426404
45.688125,50,454.056719
98.45,107,457.974164
96.458438,106,468.914317
46.81625,50,470.698779
98.994063,109,481.695145
95.086875,106,492.193936
97.2475,106,495.996717
88.2275,97,506.400332
89.440625,97,517.105542
96.66,107,521.460155
95.7375,106,532.43753
95.21625,106,543.398291
96.688438,106,547.451997
45.806875,50,556.073394
96.76,106,831.581391
96.92625,106,843.771004
97.4575,107,856.361537
98.21125,107,860.385587
98.285938,106,872.590693
97.912813,107,884.914176
98.234375,106,889.108642
97.700938,107,901.385013
97.429688,106,913.43151
98.799063,107,917.47611
98.433125,107,929.499308
97.75625,107,941.51645
96.433438,106,945.481443
97.71375,106,957.981624
97.391563,106,970.205086
98.057813,107,982.326727
97.650938,106,986.167749
96.029688,107,998.478833
46.308438,50,1000.242997
98.564688,107,1272.029962
98.980313,107,1283.673435
98.163438,107,1288.238634
98.604375,106,1299.848367
98.618125,107,1311.785775
98.26375,107,1316.188486
88.830625,97,1327.466188
98.988438,106,1339.490611
98.605,106,1343.838954
96.870313,106,1355.824285
101.7725,107,1367.377803
98.5075,106,1371.83164
98.466563,106,1384.02344
99.2475,107,1396.466772
97.218125,107,1400.882534
97.305938,106,1412.748939
166.972125,181,1427.750181
99.404063,108,1439.969091
98.90875,107,1451.709492
99.585625,107,1721.385262
100.214688,107,1734.293935
101.4275,108,1747.111445
98.482813,106,1751.894258
99.669375,106,1764.82269
100.835,108,1777.472785
100.7725,108,1782.340036
99.856875,106,1795.439817
98.87125,106,1808.189493
100.569375,107,1812.89004
103.844375,109,1825.593901
99.903438,106,1838.627917
99.019688,106,1851.306862
99.71125,106,1856.440366
98.584375,106,1869.031896
101.91375,107,1881.904429
99.160938,107,1886.593162
99.088438,107,1899.387244
102.545,109,1912.040338
98.774375,106,2186.591697
101.200313,106,2199.670412
101.947188,106,2213.616531
99.864063,106,2218.263868
100.120938,107,2231.461293
98.428125,106,2244.622063
100.724688,106,2249.341727
101.406563,107,2262.248411
98.4525,107,2275.240519
102.965625,107,2280.251717
100.173125,107,2293.838868
99.396875,107,2306.876476
97.389063,106,2320.306246
98.38375,106,2325.141703
100.1625,107,2337.720136
99.665,106,2350.912366
101.409375,108,2355.74291
102.133125,107,2368.917627
101.394063,107,2381.922224
102.393438,108,2657.97867
99.78625,107,2670.574323
102.219375,106,2684.150501
102.708438,106,2689.457436
102.89375,108,2702.549288
92.660313,97,2715.411215
100.331875,106,2720.197134
103.024688,107,2733.286115
102.30375,107,2746.783188
99.93125,107,2751.771697
105.294063,108,2764.837373
101.858438,106,2778.073386
100.28125,106,2783.138991
102.76,108,2796.174934
103.563438,107,2809.368102
101.523125,106,2822.19476
102.127813,106,2827.283158
102.96375,107,2840.429462
103.698125,107,2853.793906
102.5625,106,2858.684845
101.024063,106,3143.609253
104.860938,108,3156.644992
103.759375,108,3161.80828
102.566875,107,3174.901192
100.427813,107,3187.577546
104.74375,107,3192.790238
101.71625,106,3205.858379
105.29125,108,3218.819574
101.278125,106,3224.213658
100.48125,106,3236.846033
102.037188,106,3249.738678
103.137813,107,3255.041216
101.92875,106,3267.760031
104.084063,108,3280.355603
103.34375,106,3292.743384
99.810313,106,3297.854587
101.607188,106,3310.343731
105.272813,107,3323.090308
105.482813,108,3328.325485
101.76,106,3613.57513
104.014063,107,3626.586276
103.940938,108,3631.752534
100.710313,106,3644.028483
105.425313,108,3656.888601
103.53,107,3662.232417
102.938438,106,3674.916116
101.905625,106,3688.172701
102.56,107,3693.041997
103.800625,108,3706.340077
102.598438,107,3719.217068
101.570625,106,3724.617776
104.995,107,3737.665412
105.198438,108,3750.578336
105.385625,108,3763.814717
170.39525,182,3781.019443
102.426875,107,3786.354986
104.779063,108,3798.941066
101.665,106,4081.920114
103.021875,106,4087.209678
103.970313,108,4100.098486
103.365,106,4112.820902
104.270938,107,4126.127395
104.852188,108,4131.414383
103.961875,106,4143.882693
105.075313,108,4156.853359
105.588438,108,4162.419265
106.106875,108,4175.428212
103.539375,106,4188.538082
103.854063,108,4193.830101
102.33,106,4207.041901
103.45375,106,4220.031272
103.416875,106,4225.248986
103.461875,106,4238.134168
106.218438,108,4251.232704
105.77125,108,4256.482895
103.605938,107,4269.460175
106.197813,108,4553.569722
105.918125,109,4567.324183
105.01625,108,4572.912057
104.4675,107,4586.755437
171.610875,181,4604.268915
103.672813,108,4617.95436
102.980313,106,4622.981242
105.970313,108,4636.509397
104.561563,108,4650.251907
105.974688,108,4664.116369
105.084375,107,4669.91176
103.20875,107,4683.225713
104.916875,107,4697.050456
101.525938,106,4702.308175
105.564375,108,4715.9197
103.210625,107,4729.457564
104.715938,108,4734.991964
103.51,107,4748.305569
104.08,108,4761.683164
104.3175,107,5039.294424
105.210313,108,5052.582768
105.855938,108,5066.264777
105.571875,108,5071.906842
104.840938,107,5084.995282
103.220938,106,5098.590755
103.77,107,5111.815018
104.956563,108,5117.348657
106.185,108,5131.237221
104.83875,108,5144.995811
106.119688,108,5150.086644
104.816875,108,5163.698402
102.775625,106,5177.032246
103.58375,107,5182.462631
104.268438,108,5195.982737
104.744063,108,5209.391154
102.613125,107,5214.562862
101.349375,106,5227.803777
102.472813,106,5241.169366
101.51875,106,5518.300524
104.73,108,5531.906634
104.923438,108,5545.89992
101.341875,106,5560.093352
102.948438,106,5565.363677
102.739063,107,5578.795464
105.9725,108,5592.091834
104.482813,108,5597.527444
103.81375,107,5611.228961
102.200938,106,5625.146685
105.947813,108,5630.573668
102.47375,107,5644.092735
105.7375,108,5657.968283
102.449063,107,5663.743901
105.495313,108,5677.381444
105.10875,108,5690.799732
103.943125,107,5696.567335
104.702188,108,5710.055015
102.729063,106,5723.614555
105.525938,108,6009.039588
103.454063,107,6014.238499
105.33875,108,6028.619129
103.8525,108,6042.562391
106.010938,108,6048.322164
105.321875,108,6062.147138
105.382813,108,6075.979549
102.943125,106,6081.18939
105.537813,108,6095.301077
102.529688,106,6109.175629
105.637188,108,6115.05422
105.479688,108,6129.289265
103.933438,107,6143.146257
103.445313,106,6148.692219
103.270938,108,6162.604054
105.747188,108,6176.770024
103.020625,107,6191.220081
103.554375,107,6196.713773
105.105938,108,6210.718513
105.96875,108,6495.286693
105.065625,108,6501.058502
105.291563,107,6515.097356
105.400313,108,6528.635004
105.36125,108,6534.151989
104.533438,107,6547.778898
106.04875,108,6560.634669
105.48875,108,6566.361066
103.2725,107,6579.990106
105.3875,108,6593.657053
105.221875,109,6607.499186
106.549375,108,6613.068368
105.605938,108,6627.244074
106.145313,108,6640.734795
102.273125,107,6646.224447
105.63,108,6659.680367
106.22,108,6673.672115
106.205938,108,6679.577936
104.3475,108,6693.505121
106.072813,108,6977.981141
106.181563,108,6983.510205
106.145313,108,6997.522661
104.365938,107,7011.880668
103.686875,107,7017.155523
103.18625,107,7031.269998
103.701875,107,7045.13377
105.038438,107,7058.874554
105.816563,108,7064.595955
105.36375,108,7078.789503
105.826563,108,7092.895635
106.299063,108,7098.494567
105.068438,108,7112.152611
106.067188,108,7126.333388
105.742813,108,7132.293464
105.905313,108,7146.627583
106.407813,108,7160.346761
105.389063,108,7166.55545
101.825625,106,7180.564298
106.401563,108,7464.90713
106.36875,108,7478.878754
105.972813,108,7484.320913
106.155625,109,7497.63092
106.043125,108,7511.335301
105.520938,108,7516.646737
106.01125,108,7529.491655
105.65,108,7543.135289
104.588125,106,7549.021057
106.329375,108,7562.212957
105.475625,108,7575.783729
104.625,107,7581.482312
105.77,108,7595.314995
103.870938,107,7608.701074
105.164688,108,7622.574
104.212188,106,7628.130074
104.360625,107,7641.790576
105.690625,108,7655.425548
106.44625,108,7661.208015
103.376563,107,7944.980836
106.128438,108,7958.588864
106.11375,108,7963.777672
106.51875,108,7977.743866
105.924688,108,7991.306908
105.895,108,7997.58951
105.12625,108,8011.75767
106.501563,108,8025.121161
105.772813,108,8030.752899
104.862813,107,8044.354799
104.819688,108,8058.298894
105.764063,108,8071.669044
106.22875,108,8077.118927
105.459375,108,8090.604366
103.80625,107,8104.24446
106.026563,108,8110.405834
106.438438,108,8123.730009
106.019688,108,8136.907311
105.630938,108,8143.06218
106.353125,108,8427.005751
106.129688,108,8440.42267
105.275625,108,8445.913695
104.81,107,8459.078434
105.950313,108,8473.085684
105.972813,108,8485.910248
103.9875,106,8491.015548
106.244063,108,8504.046976
106.361563,108,8517.520121
105.588438,108,8523.135854
105.941563,108,8537.267578
106.082188,108,8550.925019
105.664063,108,8556.38247
106.175625,108,8570.129838
106.422813,108,8583.565069
105.655,108,8589.518641
106.478438,108,8602.921706
105.380938,108,8616.363952
106.35375,108,8630.177289
106.416563,108,8905.85063
106.361563,108,8919.234698
106.235625,108,8932.646112
106.246563,108,8938.27335
106.391563,108,8951.48455
106.532813,108,8964.669539
106.565,108,8970.244964
106.38375,108,8983.481019
106.353125,108,8996.708858
106.43125,108,9002.747808
