topo,num_flows,seed,smt_scheduled,smt_time,smt_scheduled_no_wait,smt_time_no_wait,drl_scheduled,drl_time
CEV,10,6871,True,0.0,True,0.0,True,0.0
CEV,10,6872,True,0.0,True,0.0,True,0.0
CEV,10,6873,True,0.0,True,0.0,True,0.0
CEV,10,6874,True,0.0,True,0.0,True,0.0
CEV,10,6875,True,0.0,True,0.0,True,0.0
CEV,10,6876,True,0.0,True,0.0,True,0.0
CEV,10,6877,True,0.0,True,0.0,True,0.0
CEV,10,6878,True,0.0,True,0.0,True,0.0
CEV,10,6879,True,0.0,True,0.0,True,0.0
CEV,10,6880,True,0.0,True,0.0,True,0.0
CEV,20,6871,True,0.0,True,0.0,True,0.0
CEV,20,6872,True,0.0,True,0.0,True,0.0
CEV,20,6873,True,0.0,True,0.0,True,0.0
CEV,20,6874,True,0.0,True,0.0,True,0.0
CEV,20,6875,True,0.0,True,0.0,True,0.0
CEV,20,6876,True,0.0,True,0.0,True,0.0
CEV,20,6877,True,0.0,True,0.0,True,0.0
CEV,20,6878,True,0.0,True,0.0,True,0.0
CEV,20,6879,True,0.0,True,0.0,True,0.0
CEV,20,6880,True,0.0,True,0.0,True,0.0
CEV,30,6871,True,0.0,True,0.0,True,0.0
CEV,30,6872,True,0.0,True,0.0,True,0.0
CEV,30,6873,True,0.0,True,0.0,True,0.0
CEV,30,6874,True,0.0,True,0.0,True,0.0
CEV,30,6875,True,0.0,True,0.0,True,0.0
CEV,30,6876,True,0.0,True,0.0,True,0.0
CEV,30,6877,True,0.0,True,0.0,True,0.0
CEV,30,6878,True,0.0,True,0.0,True,0.0
CEV,30,6879,True,0.0,True,0.0,True,0.0
CEV,30,6880,True,0.0,True,0.0,True,0.0
CEV,40,6871,True,0.0,True,0.0,True,0.0
CEV,40,6872,True,0.0,True,0.0,True,0.0
CEV,40,6873,True,0.0,True,0.0,True,0.0
CEV,40,6874,True,0.0,True,0.0,True,0.0
CEV,40,6875,True,0.0,True,0.0,True,0.0
CEV,40,6876,True,0.0,True,0.0,True,0.0
CEV,40,6877,True,0.0,True,0.0,True,0.0
CEV,40,6878,True,0.0,True,0.0,True,0.0
CEV,40,6879,True,0.0,True,0.0,True,0.0
CEV,40,6880,True,0.0,True,0.0,True,0.0
CEV,50,6871,True,0.0,True,0.0,True,0.0
CEV,50,6872,True,0.0,True,0.0,True,0.0
CEV,50,6873,True,0.0,True,0.0,True,0.0
CEV,50,6874,True,0.0,True,0.0,True,0.0
CEV,50,6875,True,0.0,True,0.0,True,0.0
CEV,50,6876,True,0.0,True,0.0,True,0.0
CEV,50,6877,True,0.0,True,0.0,True,0.0
CEV,50,6878,True,0.0,True,0.0,True,0.0
CEV,50,6879,True,0.0,True,0.0,True,0.0
CEV,50,6880,True,0.0,True,0.0,True,0.0
CEV,60,6871,True,36.462162494659424,True,42.7184054851532,True,0.9496173858642578
CEV,60,6872,True,42.271881103515625,True,43.13564729690552,True,0.9694223403930664
CEV,60,6873,True,37.052385568618774,True,39.71171045303345,True,0.9424943923950195
CEV,60,6874,True,28.079435348510742,True,29.4957754611969,True,0.8833835124969482
CEV,60,6875,True,29.349618911743164,True,31.40240716934204,True,0.8589622974395752
CEV,60,6876,True,38.07393288612366,True,41.66041374206543,True,0.9372920989990234
CEV,60,6877,True,37.97445511817932,True,38.47766375541687,True,0.9031734466552734
CEV,60,6878,True,22.76304602622986,True,23.381158590316772,True,0.8431031703948975
CEV,60,6879,True,36.62462043762207,True,36.30858016014099,True,15.690669536590576
CEV,60,6880,True,52.72106456756592,True,54.723085165023804,True,21.78304934501648
CEV,70,6871,True,0.0,True,0.0,True,0.0
CEV,70,6872,True,0.0,True,0.0,True,2.207165479660034
CEV,70,6873,True,0.0,True,0.0,True,1.1352763175964355
CEV,70,6874,True,0.0,True,0.0,True,0.0
CEV,70,6875,True,0.0,True,0.0,True,0.0
CEV,70,6876,True,0.0,True,0.0,True,0.0
CEV,70,6877,True,0.0,True,0.0,True,1.8282523155212402
CEV,70,6878,True,0.0,True,0.0,True,132.12106108665466
CEV,70,6879,True,0.0,True,0.0,True,0.0
CEV,70,6880,True,0.0,True,0.0,True,0.0
CEV,80,6871,True,0.0,True,0.0,True,0.0
CEV,80,6872,True,0.0,True,0.0,True,2.0194990634918213
CEV,80,6873,True,0.0,True,0.0,False,304.5734136104584
CEV,80,6874,True,0.0,True,0.0,True,0.0
CEV,80,6875,True,0.0,True,0.0,True,0.0
CEV,80,6876,True,0.0,True,0.0,True,0.0
CEV,80,6877,True,0.0,True,0.0,True,3.001758337020874
CEV,80,6878,True,0.0,True,0.0,True,4.717033863067627
CEV,80,6879,True,0.0,True,0.0,True,0.0
CEV,80,6880,True,0.0,True,0.0,True,0.0
CEV,90,6871,True,126.48894357681274,True,128.46750354766846,True,280.62428617477417
CEV,90,6872,True,118.39550733566284,True,113.75204992294312,False,300.0016100406647
CEV,90,6873,True,98.16584587097168,True,119.57835054397583,False,304.7895164489746
CEV,90,6874,True,68.61776685714722,True,65.11976408958435,True,2.6813607215881348
CEV,90,6875,True,75.01439642906189,True,70.60503649711609,True,1.327775478363037
CEV,90,6876,True,98.2793197631836,True,116.1283073425293,True,18.996705770492554
CEV,90,6877,True,117.13447117805481,True,138.13282465934753,False,300.00060963630676
CEV,90,6878,True,79.84789156913757,True,74.43065428733826,False,300.0017521381378
CEV,90,6879,True,77.1819384098053,True,76.22105622291565,True,15.32680892944336
CEV,90,6880,True,115.77061772346497,True,119.19495677947998,True,86.8658754825592
CEV,100,6871,True,0.0,True,0.0,True,92.58683800697327
CEV,100,6872,True,0.0,True,0.0,False,300.0
CEV,100,6873,True,0.0,True,0.0,False,300.0
CEV,100,6874,True,0.0,True,0.0,True,0.0
CEV,100,6875,True,0.0,True,0.0,True,0.0
CEV,100,6876,True,0.0,True,0.0,True,1.724318027496338
CEV,100,6877,True,171.87152981758118,True,0.0,False,300.0
CEV,100,6878,True,0.0,True,0.0,False,300.0
CEV,100,6879,True,0.0,True,0.0,True,0.0
CEV,100,6880,True,0.0,True,0.0,False,305.1895031929016
CEV,110,6871,True,233.65680360794067,True,243.1705822944641,False,303.54633927345276
CEV,110,6872,True,201.78719973564148,True,208.89966583251953,False,300.0
CEV,110,6873,True,177.1104860305786,True,208.21104621887207,False,300.0
CEV,110,6874,True,109.3754072189331,True,104.69632768630981,True,4.91625714302063
CEV,110,6875,True,111.4441168308258,True,119.70317125320435,True,1.689868688583374
CEV,110,6876,True,222.2310619354248,True,172.94805550575256,False,300.0028512477875
CEV,110,6877,False,386.81491136550903,True,315.5844213962555,False,300.0
CEV,110,6878,True,180.10408401489258,True,147.89739847183228,False,300.0
CEV,110,6879,True,163.8794186115265,True,131.07318878173828,True,72.70713138580322
CEV,110,6880,True,313.48367190361023,True,287.4678256511688,False,305.46147871017456
CEV,120,6871,True,353.626571893692,True,284.07350754737854,False,300.0
CEV,120,6872,True,327.93132734298706,True,360.1745071411133,False,300.0
CEV,120,6873,True,268.7439684867859,True,391.30414628982544,False,300.0
CEV,120,6874,True,146.39944696426392,True,131.9073088169098,False,305.13755989074707
CEV,120,6875,True,151.229638338089,True,154.13486409187317,True,22.412986040115356
CEV,120,6876,False,400.40766072273254,False,400.9195713996887,False,300.0
CEV,120,6877,False,300.0,False,406.09559440612793,False,300.0
CEV,120,6878,True,201.88114976882935,True,183.55527257919312,False,300.0
CEV,120,6879,True,194.92490124702454,True,199.00383138656616,True,35.2380588054657
CEV,120,6880,False,392.6781470775604,False,393.0700225830078,False,300.0
