topo,num_flows,seed,scheduler,is_scheduled,consuming_time
DiGraph with 10 nodes and 18 edges,30,7027,smt_no_wait,True,36.2856023311615
DiGraph with 10 nodes and 18 edges,30,7028,smt_no_wait,True,25.357601642608643
DiGraph with 10 nodes and 18 edges,30,7029,smt_no_wait,True,24.43862247467041
DiGraph with 10 nodes and 18 edges,30,7030,smt_no_wait,True,25.309342861175537
DiGraph with 10 nodes and 18 edges,30,7031,smt_no_wait,True,22.884258031845093
DiGraph with 10 nodes and 18 edges,30,7032,smt_no_wait,True,21.275988340377808
DiGraph with 10 nodes and 18 edges,30,7033,smt_no_wait,True,19.282102584838867
DiGraph with 10 nodes and 18 edges,30,7034,smt_no_wait,True,36.1757869720459
DiGraph with 10 nodes and 18 edges,30,7035,smt_no_wait,True,25.088557243347168
DiGraph with 10 nodes and 18 edges,40,7026,smt_no_wait,True,52.39552450180054
DiGraph with 10 nodes and 18 edges,40,7027,smt_no_wait,True,72.49128937721252
DiGraph with 10 nodes and 18 edges,40,7028,smt_no_wait,True,116.92292547225952
DiGraph with 10 nodes and 18 edges,40,7029,smt_no_wait,True,44.588478088378906
DiGraph with 10 nodes and 18 edges,40,7030,smt_no_wait,True,52.16264867782593
DiGraph with 10 nodes and 18 edges,40,7031,smt_no_wait,True,56.8377525806427
DiGraph with 10 nodes and 18 edges,40,7032,smt_no_wait,True,45.88691067695618
DiGraph with 10 nodes and 18 edges,40,7033,smt_no_wait,True,59.526015520095825
DiGraph with 10 nodes and 18 edges,40,7034,smt_no_wait,True,73.56618785858154
DiGraph with 10 nodes and 18 edges,40,7035,smt_no_wait,True,44.622010231018066
DiGraph with 10 nodes and 18 edges,50,7026,smt_no_wait,True,98.59067273139954
DiGraph with 10 nodes and 18 edges,50,7027,smt_no_wait,True,165.19891738891602
DiGraph with 10 nodes and 18 edges,50,7028,smt_no_wait,True,158.0260992050171
DiGraph with 10 nodes and 18 edges,50,7029,smt_no_wait,True,83.16718173027039
DiGraph with 10 nodes and 18 edges,50,7030,smt_no_wait,True,165.26891160011292
DiGraph with 10 nodes and 18 edges,50,7031,smt_no_wait,True,120.88125205039978
DiGraph with 10 nodes and 18 edges,50,7032,smt_no_wait,True,90.60613226890564
DiGraph with 10 nodes and 18 edges,50,7033,smt_no_wait,True,103.27034330368042
DiGraph with 10 nodes and 18 edges,50,7034,smt_no_wait,True,132.4006826877594
DiGraph with 10 nodes and 18 edges,50,7035,smt_no_wait,True,93.70292448997498
DiGraph with 10 nodes and 18 edges,10,7026,drl,True,0.08658909797668457
DiGraph with 10 nodes and 18 edges,10,7027,drl,True,0.09097576141357422
DiGraph with 10 nodes and 18 edges,10,7028,drl,True,2.153717279434204
DiGraph with 10 nodes and 18 edges,10,7029,drl,True,0.07815980911254883
DiGraph with 10 nodes and 18 edges,10,7030,drl,True,0.07748746871948242
DiGraph with 10 nodes and 18 edges,10,7031,drl,True,0.08300447463989258
DiGraph with 10 nodes and 18 edges,10,7032,drl,True,0.07358431816101074
DiGraph with 10 nodes and 18 edges,10,7033,drl,True,0.07474136352539062
DiGraph with 10 nodes and 18 edges,10,7034,drl,True,0.0767202377319336
DiGraph with 10 nodes and 18 edges,10,7035,drl,True,0.15600204467773438
DiGraph with 10 nodes and 18 edges,20,7026,drl,True,0.19000506401062012
DiGraph with 10 nodes and 18 edges,20,7027,drl,True,0.19068264961242676
DiGraph with 10 nodes and 18 edges,20,7028,drl,True,0.1753978729248047
DiGraph with 10 nodes and 18 edges,20,7029,drl,True,0.17098450660705566
DiGraph with 10 nodes and 18 edges,20,7030,drl,True,0.18105792999267578
DiGraph with 10 nodes and 18 edges,20,7031,drl,True,0.17395687103271484
DiGraph with 10 nodes and 18 edges,20,7032,drl,True,0.19415736198425293
DiGraph with 10 nodes and 18 edges,20,7033,drl,True,0.16454315185546875
DiGraph with 10 nodes and 18 edges,20,7034,drl,True,0.18807363510131836
DiGraph with 10 nodes and 18 edges,20,7035,drl,True,0.17785406112670898
DiGraph with 10 nodes and 18 edges,30,7026,drl,True,75.72357606887817
DiGraph with 10 nodes and 18 edges,30,7027,drl,True,0.35965657234191895
DiGraph with 10 nodes and 18 edges,30,7028,drl,True,1.4283013343811035
DiGraph with 10 nodes and 18 edges,30,7029,drl,True,0.276324987411499
DiGraph with 10 nodes and 18 edges,30,7030,drl,True,0.30887365341186523
DiGraph with 10 nodes and 18 edges,30,7031,drl,True,0.29068565368652344
DiGraph with 10 nodes and 18 edges,30,7032,drl,True,0.2999134063720703
DiGraph with 10 nodes and 18 edges,30,7033,drl,True,0.27687835693359375
DiGraph with 10 nodes and 18 edges,30,7034,drl,True,12.130820512771606
DiGraph with 10 nodes and 18 edges,30,7035,drl,True,0.35208892822265625
DiGraph with 10 nodes and 18 edges,40,7026,drl,False,300.0018744468689
DiGraph with 10 nodes and 18 edges,40,7027,drl,True,0.4922323226928711
DiGraph with 10 nodes and 18 edges,40,7028,drl,True,45.86886692047119
DiGraph with 10 nodes and 18 edges,40,7029,drl,True,1.5759718418121338
DiGraph with 10 nodes and 18 edges,40,7030,drl,True,0.48697876930236816
DiGraph with 10 nodes and 18 edges,40,7031,drl,True,5.05453896522522
DiGraph with 10 nodes and 18 edges,40,7032,drl,True,0.9320929050445557
DiGraph with 10 nodes and 18 edges,40,7033,drl,True,0.47950124740600586
DiGraph with 10 nodes and 18 edges,40,7034,drl,False,300.00204157829285
DiGraph with 10 nodes and 18 edges,40,7035,drl,True,0.510918378829956
DiGraph with 10 nodes and 18 edges,50,7026,drl,False,302.14770555496216
DiGraph with 10 nodes and 18 edges,50,7027,drl,False,300.00383496284485
DiGraph with 10 nodes and 18 edges,50,7028,drl,True,78.17789840698242
DiGraph with 10 nodes and 18 edges,50,7029,drl,True,40.35296559333801
DiGraph with 10 nodes and 18 edges,50,7030,drl,True,13.157429695129395
DiGraph with 10 nodes and 18 edges,50,7031,drl,False,301.14932584762573
DiGraph with 10 nodes and 18 edges,50,7032,drl,True,0.7277617454528809
DiGraph with 10 nodes and 18 edges,50,7033,drl,True,0.6545639038085938
DiGraph with 10 nodes and 18 edges,50,7034,drl,False,300.0022203922272
DiGraph with 10 nodes and 18 edges,50,7035,drl,True,74.77846431732178
