#{"t_start": 1690165769.4366577, "env_id": "None"}
r,l,t
280.260391,287,32.574399
278.035391,287,56.176341
278.490234,287,80.480682
277.852812,287,105.535547
279.518516,287,130.812249
278.511484,287,157.427576
278.776953,287,175.875025
279.579297,287,498.057381
278.870547,287,570.65121
279.809375,287,643.682374
87.739917,97,678.529096
215.274871,233,717.227507
12.666563,14,717.700186
89.634605,97,750.854457
89.34648,97,754.209563
12.655,14,754.671772
261.377061,285,824.451634
12.643438,14,824.954398
12.046563,14,825.443731
179.049817,193,892.211238
12.042813,14,892.705156
211.819091,226,1193.984345
299.582128,321,1334.009919
179.280129,193,1468.606168
12.017813,14,1469.100196
180.373254,193,1540.150224
297.324941,321,1679.313424
295.309316,321,1818.351208
180.202004,193,1889.237893
211.573153,226,2027.846196
296.599003,321,2641.265148
299.051816,321,3157.910659
122.235269,131,3420.459265
122.582144,131,3425.415098
179.682942,193,3935.195549
210.067841,226,4195.211103
181.377004,193,4453.865305
12.0525,14,4454.456546
207.397841,223,4965.775321
296.602441,321,5480.441115
12.643438,14,5480.92597
64.592296,69,5483.570371
63.591046,69,5737.256049
299.084316,321,6525.177283
221.452683,234,6783.174372
299.930566,321,7544.72546
298.542128,321,8055.269848
219.162058,234,8313.239778
297.552128,321,8825.854923
90.578355,97,9079.309575
301.044003,321,9641.442546
297.847753,322,9726.838548
300.299316,321,9812.087934
300.737128,321,9897.214138
182.611379,193,9940.828547
343.193414,370,10063.726203
300.349628,321,10148.417521
303.000253,322,10503.516614
342.970289,370,10582.430969
300.917441,321,10660.083741
302.601503,321,10738.708891
301.223066,321,10818.092331
303.197128,321,10898.309111
181.508254,193,11253.664539
303.195878,321,11341.456172
304.529003,321,11429.341416
303.408691,321,11516.394787
183.604504,193,11560.675122
303.507128,321,11649.390121
270.847061,285,11737.030477
307.554941,321,12102.658085
306.612441,321,12212.738909
305.739941,321,12322.543603
349.576539,370,12434.799691
223.229558,233,12541.026825
300.923378,321,12651.024354
304.168691,321,12760.680027
303.243691,321,13132.83177
348.184664,370,13239.371337
347.915289,370,13391.672738
349.229039,370,13498.355671
303.319628,321,13602.595212
302.802441,321,13707.445782
306.959628,321,14097.806013
305.326816,321,14245.231244
304.687441,321,14393.659684
308.565253,321,14608.990556
304.743691,321,14756.902877
356.275914,370,14906.498533
187.456067,193,15245.398785
311.269316,321,15401.909098
188.042942,193,15481.471769
309.972753,321,15709.277837
311.572128,323,15865.616466
307.322753,321,16021.766071
307.832128,321,16178.358554
307.879941,321,16602.146223
311.676191,321,16764.369488
308.364941,321,16926.521579
312.540566,323,17088.594229
312.069628,323,17251.124479
310.305566,321,17413.213735
356.542164,370,17840.137076
