topo,num_flows,seed,scheduler,is_scheduled,consuming_time
L5,10,2128,smt,True,5.302693605422974
L5,10,2129,smt,True,5.303673505783081
L5,10,2130,smt,True,4.061213731765747
L5,10,2131,smt,True,3.6821091175079346
L5,10,2132,smt,True,5.714868783950806
L5,10,2133,smt,True,6.6814048290252686
L5,10,2134,smt,True,2.8498780727386475
L5,10,2135,smt,True,4.221720457077026
L5,10,2136,smt,True,5.447002410888672
L5,10,2137,smt,True,3.84206485748291
L5,20,2128,smt,True,26.70424199104309
L5,20,2129,smt,True,17.491271257400513
L5,20,2130,smt,True,18.146277904510498
L5,20,2131,smt,True,20.956568956375122
L5,20,2132,smt,True,22.615551710128784
L5,20,2133,smt,True,32.604979515075684
L5,20,2134,smt,True,28.34005045890808
L5,20,2135,smt,True,17.829071283340454
L5,20,2136,smt,True,24.49874520301819
L5,20,2137,smt,True,21.070040702819824
L5,30,2128,smt,True,55.20593810081482
L5,30,2129,smt,True,54.48717522621155
L5,30,2130,smt,True,47.282904386520386
L5,30,2131,smt,True,59.42102646827698
L5,30,2132,smt,True,65.4421272277832
L5,30,2133,smt,True,88.19779753684998
L5,30,2134,smt,True,66.34626984596252
L5,30,2135,smt,True,42.597023248672485
L5,30,2136,smt,True,48.530319690704346
L5,30,2137,smt,True,62.42457461357117
L5,40,2128,smt,True,105.30785870552063
L5,40,2129,smt,True,110.2665867805481
L5,40,2130,smt,True,78.88753628730774
L5,40,2131,smt,True,138.8024230003357
L5,40,2132,smt,True,112.39714288711548
L5,40,2133,smt,True,115.71716380119324
L5,40,2134,smt,True,103.52012658119202
L5,40,2135,smt,True,58.02702856063843
L5,40,2136,smt,True,69.43822598457336
L5,40,2137,smt,True,91.71998906135559
L5,10,2128,smt_no_wait,True,3.956453323364258
L5,10,2129,smt_no_wait,True,3.999713182449341
L5,10,2130,smt_no_wait,True,3.0379652976989746
L5,10,2131,smt_no_wait,True,2.7397332191467285
L5,10,2132,smt_no_wait,True,4.370481967926025
L5,10,2133,smt_no_wait,True,4.986445665359497
L5,10,2134,smt_no_wait,True,2.142610788345337
L5,10,2135,smt_no_wait,True,3.0608725547790527
L5,10,2136,smt_no_wait,True,3.8044097423553467
L5,10,2137,smt_no_wait,True,2.6969423294067383
L5,20,2128,smt_no_wait,True,19.60835337638855
L5,20,2129,smt_no_wait,True,13.331222772598267
L5,20,2130,smt_no_wait,True,13.609503507614136
L5,20,2131,smt_no_wait,True,15.855055332183838
L5,20,2132,smt_no_wait,True,16.957785606384277
L5,20,2133,smt_no_wait,True,25.243120908737183
L5,20,2134,smt_no_wait,True,20.38858938217163
L5,20,2135,smt_no_wait,True,12.325071334838867
L5,20,2136,smt_no_wait,True,17.71158790588379
L5,20,2137,smt_no_wait,True,15.140064239501953
L5,30,2128,smt_no_wait,True,40.07369923591614
L5,30,2129,smt_no_wait,True,39.054839849472046
L5,30,2130,smt_no_wait,True,35.97855305671692
L5,30,2131,smt_no_wait,True,44.73624277114868
L5,30,2132,smt_no_wait,True,48.066030740737915
L5,30,2133,smt_no_wait,True,63.397945165634155
L5,30,2134,smt_no_wait,True,49.5390944480896
L5,30,2135,smt_no_wait,True,30.82320809364319
L5,30,2136,smt_no_wait,True,34.981640338897705
L5,30,2137,smt_no_wait,True,44.95763397216797
L5,40,2128,smt_no_wait,True,78.3725700378418
L5,40,2129,smt_no_wait,True,74.37088966369629
L5,40,2130,smt_no_wait,True,55.87590956687927
L5,40,2131,smt_no_wait,True,94.60253190994263
L5,40,2132,smt_no_wait,True,96.53580737113953
L5,40,2133,smt_no_wait,True,108.39633250236511
L5,40,2134,smt_no_wait,True,111.76720905303955
L5,40,2135,smt_no_wait,True,56.72809457778931
L5,40,2136,smt_no_wait,True,67.8595142364502
L5,40,2137,smt_no_wait,True,90.18221712112427
L5,10,2128,drl,True,0.10988283157348633
L5,10,2129,drl,True,0.13164114952087402
L5,10,2130,drl,True,0.11514925956726074
L5,10,2131,drl,True,0.09891843795776367
L5,10,2132,drl,True,0.16028118133544922
L5,10,2133,drl,True,0.12673187255859375
L5,10,2134,drl,True,0.09671854972839355
L5,10,2135,drl,True,0.1042945384979248
L5,10,2136,drl,True,0.10330796241760254
L5,10,2137,drl,True,0.09903144836425781
L5,20,2128,drl,True,0.5401287078857422
L5,20,2129,drl,True,0.2692863941192627
L5,20,2130,drl,True,0.24520063400268555
L5,20,2131,drl,True,0.26152634620666504
L5,20,2132,drl,True,0.25366902351379395
L5,20,2133,drl,True,0.34317827224731445
L5,20,2134,drl,True,0.35083460807800293
L5,20,2135,drl,True,0.32559943199157715
L5,20,2136,drl,True,0.2437434196472168
L5,20,2137,drl,True,0.22171497344970703
L5,30,2128,drl,True,0.4871194362640381
L5,30,2129,drl,True,2.3438942432403564
L5,30,2130,drl,True,7.491770029067993
L5,30,2131,drl,True,4.408452987670898
L5,30,2132,drl,True,14.316136837005615
L5,30,2133,drl,True,1.0991008281707764
L5,30,2134,drl,True,1.0247507095336914
L5,30,2135,drl,True,0.600949764251709
L5,30,2136,drl,True,0.3948245048522949
L5,30,2137,drl,True,3.6924808025360107
L5,40,2128,drl,True,43.12094759941101
L5,40,2129,drl,True,2.969978094100952
L5,40,2130,drl,True,4.368849277496338
L5,40,2131,drl,True,39.49724316596985
L5,40,2132,drl,True,216.61776185035706
L5,40,2133,drl,False,300.01197052001953
L5,40,2134,drl,False,300.0467357635498
L5,40,2135,drl,True,1.1817951202392578
L5,40,2136,drl,True,40.01062059402466
L5,40,2137,drl,True,0.811331033706665
