#{"t_start": 1689864741.6585999, "env_id": "None"}
r,l,t
124.185312,105,15.945063
49.642813,52,17.407511
93.170625,89,19.966271
123.631562,105,22.986831
49.87125,52,24.436202
49.740313,52,25.962223
123.93125,105,28.90808
122.141562,105,31.836462
4.45,6,32.030001
49.851562,52,33.489474
122.929687,105,36.548075
49.986875,52,38.069885
122.925312,105,41.314117
124.246875,105,44.394611
124.093437,105,47.53789
122.951562,105,50.78063
122.763437,105,54.571487
35.728438,39,55.71947
34.922813,39,57.085583
57.902188,62,59.241178
139.57625,121,63.161914
151.656563,127,67.379672
8.721563,12,67.730534
9.341563,12,68.146445
139.193438,124,71.988904
9.403438,12,72.342685
35.835313,39,73.441267
139.437813,124,311.793869
152.349063,127,315.899431
138.49125,121,319.60897
150.469375,127,323.542594
10.57375,12,323.880221
151.966875,127,327.79652
60.164063,62,329.656857
59.189375,62,331.540767
58.674063,62,333.395375
151.986875,127,337.173285
137.2925,121,340.782813
35.084063,39,342.020496
64.244063,67,344.055943
151.064375,127,347.935948
9.426563,12,348.322814
36.099688,39,349.489181
151.9075,127,353.318646
10.535,12,353.661199
37.121562,39,354.804279
62.82625,67,356.812837
140.210625,124,360.511881
35.974688,39,361.665768
150.364375,127,365.510121
35.045625,39,366.719463
36.695,39,367.894186
9.434375,12,368.253464
58.4475,62,370.127552
140.289688,121,609.638636
153.521875,127,613.544929
67.47125,67,615.578559
154.218438,127,619.53047
188.86625,152,624.226285
87.762188,83,626.688322
208.12875,158,631.509098
146.089375,127,635.361879
206.628125,158,640.253515
208.77625,158,645.049467
208.584375,158,649.889887
147.92875,128,653.860787
184.653125,147,658.433815
209.4625,158,663.328403
207.670313,158,668.13435
186.000938,147,906.490079
210.97125,158,911.362961
92.453125,88,914.039262
208.201875,158,918.948975
208.200625,158,923.876054
87.162813,83,926.535471
208.659063,158,931.462279
222.995937,176,937.111386
191.31375,159,942.085808
191.059062,159,946.9813
166.378437,146,951.589471
92.465937,90,954.412148
225.53375,176,959.836748
226.00375,176,965.461058
93.218125,90,968.348674
192.263437,160,1206.675955
164.227812,142,1211.233274
225.901875,176,1216.806898
193.289062,159,1222.031708
223.890625,176,1227.719964
96.42875,94,1230.702965
165.67,142,1235.205152
160.235938,136,1239.574336
227.219687,176,1245.198467
194.634687,159,1250.32872
225.984375,176,1256.038233
166.045,142,1260.595707
191.80625,159,1265.696378
166.365937,142,1508.62337
224.865937,176,1513.988393
223.347812,176,1519.23816
225.816562,176,1524.680215
283.69,190,1530.456042
284.629688,190,1536.260978
283.81375,190,1542.089085
284.058438,190,1547.813555
284.129687,190,1553.650419
284.151563,190,1559.638382
283.040312,190,1565.406514
284.760625,190,1812.932406
285.68875,190,1818.848514
283.702188,190,1824.755167
188.589375,164,1829.829425
188.830313,164,1834.956226
188.3225,164,1840.009591
189.664687,164,1845.127038
109.255,109,1848.477348
187.581563,164,1853.506254
192.107188,166,1858.583091
320.81,240,1865.815338
187.606875,164,1870.905472
188.255938,165,2112.29629
187.724063,164,2117.471781
191.110312,165,2122.638127
186.768438,164,2127.584828
191.18,166,2132.794336
192.71125,170,2138.220221
188.089687,164,2143.202464
188.626875,164,2148.367202
191.800938,165,2153.65034
320.59375,240,2161.164222
191.09875,164,2166.441373
189.39,165,2171.629289
190.309375,166,2414.206508
192.720313,165,2419.546178
190.38625,164,2424.820759
190.71125,164,2430.352234
190.5175,165,2435.649048
190.502188,164,2440.99044
322.609375,240,2448.781334
192.218125,165,2454.228291
