2023-07-26 21:22:59,076 - root - INFO - Namespace(time_steps=10000000, num_flows=50, debug=False, num_envs=64, alg='PPO', model=None, topo='L5', link_rate=100)
2023-07-26 21:22:59,076 - root - INFO - start training...
2023-07-27 06:48:33,922 - root - INFO - ------Finish learning------
2023-07-27 06:48:33,923 - root - INFO - Execution time of train(): 33934.84673786163 seconds
2023-07-27 06:48:34,200 - matplotlib.pyplot - DEBUG - Loaded backend agg version v2.2.
2023-07-27 06:48:34,206 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2023-07-27 06:48:34,206 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Bold.ttf', name='DejaVu Sans', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 0.33499999999999996
2023-07-27 06:48:34,206 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2023-07-27 06:48:34,206 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUni.ttf', name='STIXNonUnicode', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,206 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmb10.ttf', name='cmb10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,206 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2023-07-27 06:48:34,206 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,206 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2023-07-27 06:48:34,206 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,206 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmr10.ttf', name='cmr10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2023-07-27 06:48:34,206 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2023-07-27 06:48:34,206 - matplotlib.font_manager - DEBUG - findfont: score(FontEntry(fname='/root/miniconda3/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
